Date,Store ID,Product ID,Units Sold,Price,Discount,Promotion,Demand,Year,Month,Week,TimeKey
2022-01-01,S001,P0001,102,72.72,5,0,115,2022,1,52,2022-W52
2022-01-01,S001,P0002,117,80.16,15,1,229,2022,1,52,2022-W52
2022-01-01,S001,P0003,114,62.94,10,1,157,2022,1,52,2022-W52
2022-01-01,S001,P0004,45,87.63,10,0,52,2022,1,52,2022-W52
2022-01-01,S001,P0005,65,54.41,0,0,59,2022,1,52,2022-W52
2022-01-01,S001,P0006,60,35.53,0,0,55,2022,1,52,2022-W52
2022-01-01,S001,P0007,81,23.27,5,0,94,2022,1,52,2022-W52
2022-01-01,S001,P0008,42,37.79,5,0,61,2022,1,52,2022-W52
2022-01-01,S001,P0009,88,94.2,5,0,129,2022,1,52,2022-W52
2022-01-01,S001,P0010,70,113.35,10,0,69,2022,1,52,2022-W52
2022-01-01,S001,P0011,51,156.34,0,0,64,2022,1,52,2022-W52
2022-01-01,S001,P0012,121,84.48,0,0,104,2022,1,52,2022-W52
2022-01-01,S001,P0013,113,33.1,5,0,110,2022,1,52,2022-W52
2022-01-01,S001,P0014,121,80.13,10,1,165,2022,1,52,2022-W52
2022-01-01,S001,P0015,55,14.39,5,0,64,2022,1,52,2022-W52
2022-01-01,S001,P0016,78,38.79,10,0,115,2022,1,52,2022-W52
2022-01-01,S001,P0017,59,21.21,0,0,75,2022,1,52,2022-W52
2022-01-01,S001,P0018,78,54.4,5,0,66,2022,1,52,2022-W52
2022-01-01,S001,P0019,61,95.56,10,0,58,2022,1,52,2022-W52
2022-01-01,S001,P0020,36,100.47,5,0,43,2022,1,52,2022-W52
2022-01-01,S002,P0001,102,90.89,0,0,118,2022,1,52,2022-W52
2022-01-01,S002,P0002,119,25.68,25,1,105,2022,1,52,2022-W52
2022-01-01,S002,P0003,167,95.17,10,1,171,2022,1,52,2022-W52
2022-01-01,S002,P0004,111,39.54,10,0,110,2022,1,52,2022-W52
2022-01-01,S002,P0005,103,92.35,0,0,94,2022,1,52,2022-W52
2022-01-01,S002,P0006,79,64.0,5,0,88,2022,1,52,2022-W52
2022-01-01,S002,P0007,89,25.47,10,0,93,2022,1,52,2022-W52
2022-01-01,S002,P0008,124,25.63,5,0,112,2022,1,52,2022-W52
2022-01-01,S002,P0009,131,64.84,10,0,145,2022,1,52,2022-W52
2022-01-01,S002,P0010,118,117.17,5,0,195,2022,1,52,2022-W52
2022-01-01,S002,P0011,49,84.71,10,0,79,2022,1,52,2022-W52
2022-01-01,S002,P0012,78,78.86,0,0,122,2022,1,52,2022-W52
2022-01-01,S002,P0013,93,21.76,10,0,109,2022,1,52,2022-W52
2022-01-01,S002,P0014,69,100.18,10,1,63,2022,1,52,2022-W52
2022-01-01,S002,P0015,70,65.19,10,0,96,2022,1,52,2022-W52
2022-01-01,S002,P0016,113,111.87,5,0,194,2022,1,52,2022-W52
2022-01-01,S002,P0017,72,18.89,5,0,65,2022,1,52,2022-W52
2022-01-01,S002,P0018,69,27.67,0,0,79,2022,1,52,2022-W52
2022-01-01,S002,P0019,82,83.09,10,0,96,2022,1,52,2022-W52
2022-01-01,S002,P0020,43,125.8,0,0,53,2022,1,52,2022-W52
2022-01-02,S001,P0001,71,65.63,5,0,84,2022,1,52,2022-W52
2022-01-02,S001,P0002,116,74.44,10,0,175,2022,1,52,2022-W52
2022-01-02,S001,P0003,130,66.15,0,0,156,2022,1,52,2022-W52
