Date,Store ID,Product ID,Inventory Level,Units Sold,Units Ordered,Price,Discount,Weather Condition,Promotion,Competitor Pricing,Seasonality,Epidemic,Demand,Year,Month,Week,Day,DayOfWeek,IsWeekend,TimeKey
2022-01-01,S001,P0001,195,102,252,72.72,5,Snowy,0,85.73,Winter,0,115,2022,1,52,1,6,1,2022-W52
2022-01-01,S001,P0002,117,117,249,80.16,15,Snowy,1,92.02,Winter,0,229,2022,1,52,1,6,1,2022-W52
2022-01-01,S001,P0003,247,114,612,62.94,10,Snowy,1,60.08,Winter,0,157,2022,1,52,1,6,1,2022-W52
2022-01-01,S001,P0004,139,45,102,87.63,10,Snowy,0,85.19,Winter,0,52,2022,1,52,1,6,1,2022-W52
2022-01-01,S001,P0005,152,65,271,54.41,0,Snowy,0,51.63,Winter,0,59,2022,1,52,1,6,1,2022-W52
2022-01-01,S001,P0006,209,60,0,35.53,0,Snowy,0,40.01,Winter,0,55,2022,1,52,1,6,1,2022-W52
2022-01-01,S001,P0007,118,81,335,23.27,5,Snowy,0,24.78,Winter,0,94,2022,1,52,1,6,1,2022-W52
2022-01-01,S001,P0008,244,42,0,37.79,5,Snowy,0,44.85,Winter,0,61,2022,1,52,1,6,1,2022-W52
2022-01-01,S001,P0009,115,88,139,94.2,5,Snowy,0,108.7,Winter,0,129,2022,1,52,1,6,1,2022-W52
2022-01-01,S001,P0010,192,70,300,113.35,10,Snowy,0,129.98,Winter,0,69,2022,1,52,1,6,1,2022-W52
2022-01-01,S001,P0011,215,51,142,156.34,0,Snowy,0,188.96,Winter,0,64,2022,1,52,1,6,1,2022-W52
2022-01-01,S001,P0012,289,121,215,84.48,0,Snowy,0,92.02,Winter,0,104,2022,1,52,1,6,1,2022-W52
2022-01-01,S001,P0013,279,113,0,33.1,5,Snowy,0,39.11,Winter,0,110,2022,1,52,1,6,1,2022-W52
2022-01-01,S001,P0014,252,121,479,80.13,10,Snowy,1,92.24,Winter,0,165,2022,1,52,1,6,1,2022-W52
2022-01-01,S001,P0015,119,55,74,14.39,5,Snowy,0,13.59,Winter,0,64,2022,1,52,1,6,1,2022-W52
2022-01-01,S001,P0016,103,78,372,38.79,10,Snowy,0,35.14,Winter,0,115,2022,1,52,1,6,1,2022-W52
2022-01-01,S001,P0017,128,59,0,21.21,0,Snowy,0,22.73,Winter,0,75,2022,1,52,1,6,1,2022-W52
2022-01-01,S001,P0018,281,78,0,54.4,5,Snowy,0,54.1,Winter,0,66,2022,1,52,1,6,1,2022-W52
2022-01-01,S001,P0019,281,61,0,95.56,10,Snowy,0,103.05,Winter,0,58,2022,1,52,1,6,1,2022-W52
2022-01-01,S001,P0020,266,36,0,100.47,5,Snowy,0,115.24,Winter,0,43,2022,1,52,1,6,1,2022-W52
2022-01-01,S002,P0001,102,102,331,90.89,0,Cloudy,0,81.87,Winter,0,118,2022,1,52,1,6,1,2022-W52
2022-01-01,S002,P0002,193,119,192,25.68,25,Cloudy,1,30.95,Winter,0,105,2022,1,52,1,6,1,2022-W52
2022-01-01,S002,P0003,187,167,596,95.17,10,Cloudy,1,84.24,Winter,0,171,2022,1,52,1,6,1,2022-W52
2022-01-01,S002,P0004,160,111,339,39.54,10,Cloudy,0,46.57,Winter,0,110,2022,1,52,1,6,1,2022-W52
2022-01-01,S002,P0005,155,103,334,92.35,0,Cloudy,0,104.72,Winter,0,94,2022,1,52,1,6,1,2022-W52
2022-01-01,S002,P0006,198,79,0,64.0,5,Cloudy,0,57.37,Winter,0,88,2022,1,52,1,6,1,2022-W52
2022-01-01,S002,P0007,233,89,226,25.47,10,Cloudy,0,30.08,Winter,0,93,2022,1,52,1,6,1,2022-W52
2022-01-01,S002,P0008,124,124,99,25.63,5,Cloudy,0,29.79,Winter,0,112,2022,1,52,1,6,1,2022-W52
2022-01-01,S002,P0009,131,131,260,64.84,10,Cloudy,0,68.68,Winter,0,145,2022,1,52,1,6,1,2022-W52
2022-01-01,S002,P0010,242,118,194,117.17,5,Cloudy,0,106.37,Winter,0,195,2022,1,52,1,6,1,2022-W52
2022-01-01,S002,P0011,206,49,191,84.71,10,Cloudy,0,76.07,Winter,0,79,2022,1,52,1,6,1,2022-W52
2022-01-01,S002,P0012,197,78,413,78.86,0,Cloudy,0,69.84,Winter,0,122,2022,1,52,1,6,1,2022-W52
2022-01-01,S002,P0013,152,93,331,21.76,10,Cloudy,0,21.12,Winter,0,109,2022,1,52,1,6,1,2022-W52
2022-01-01,S002,P0014,153,69,289,100.18,10,Cloudy,1,108.96,Winter,0,63,2022,1,52,1,6,1,2022-W52
2022-01-01,S002,P0015,106,70,457,65.19,10,Cloudy,0,64.23,Winter,0,96,2022,1,52,1,6,1,2022-W52
2022-01-01,S002,P0016,113,113,323,111.87,5,Cloudy,0,118.76,Winter,0,194,2022,1,52,1,6,1,2022-W52
2022-01-01,S002,P0017,153,72,196,18.89,5,Cloudy,0,18.27,Winter,0,65,2022,1,52,1,6,1,2022-W52
2022-01-01,S002,P0018,126,69,86,27.67,0,Cloudy,0,26.08,Winter,0,79,2022,1,52,1,6,1,2022-W52
2022-01-01,S002,P0019,164,82,391,83.09,10,Cloudy,0,74.12,Winter,0,96,2022,1,52,1,6,1,2022-W52
2022-01-01,S002,P0020,126,43,132,125.8,0,Cloudy,0,110.88,Winter,0,53,2022,1,52,1,6,1,2022-W52
2022-01-02,S001,P0001,93,71,0,65.63,5,Snowy,0,73.66,Winter,0,84,2022,1,52,2,7,1,2022-W52
2022-01-02,S001,P0002,249,116,0,74.44,10,Snowy,0,87.66,Winter,0,175,2022,1,52,2,7,1,2022-W52
2022-01-02,S001,P0003,133,130,0,66.15,0,Snowy,0,74.15,Winter,0,156,2022,1,52,2,7,1,2022-W52
2022-01-02,S001,P0004,94,82,183,91.64,10,Snowy,0,105.17,Winter,0,78,2022,1,52,2,7,1,2022-W52
2022-01-02,S001,P0005,87,87,487,63.35,0,Snowy,0,61.2,Winter,0,103,2022,1,52,2,7,1,2022-W52
2022-01-02,S001,P0006,149,77,172,36.93,5,Snowy,0,32.24,Winter,0,65,2022,1,52,2,7,1,2022-W52
2022-01-02,S001,P0007,37,37,497,27.22,0,Snowy,0,31.11,Winter,0,127,2022,1,52,2,7,1,2022-W52
2022-01-02,S001,P0008,202,37,0,37.38,5,Snowy,0,42.34,Winter,0,58,2022,1,52,2,7,1,2022-W52
2022-01-02,S001,P0009,166,133,107,93.21,10,Snowy,0,83.66,Winter,0,126,2022,1,52,2,7,1,2022-W52
2022-01-02,S001,P0010,122,105,498,129.03,10,Snowy,1,139.76,Winter,0,107,2022,1,52,2,7,1,2022-W52
2022-01-02,S001,P0011,164,152,264,175.19,10,Snowy,1,187.65,Winter,0,130,2022,1,52,2,7,1,2022-W52
2022-01-02,S001,P0012,168,168,397,96.27,10,Snowy,1,109.41,Winter,0,187,2022,1,52,2,7,1,2022-W52
2022-01-02,S001,P0013,166,73,90,32.72,10,Snowy,0,28.94,Winter,0,107,2022,1,52,2,7,1,2022-W52
2022-01-02,S001,P0014,131,81,0,70.94,0,Snowy,0,66.18,Winter,0,75,2022,1,52,2,7,1,2022-W52
2022-01-02,S001,P0015,138,117,109,15.17,10,Snowy,1,16.81,Winter,0,110,2022,1,52,2,7,1,2022-W52
2022-01-02,S001,P0016,25,25,0,35.58,0,Snowy,0,30.98,Winter,0,59,2022,1,52,2,7,1,2022-W52
2022-01-02,S001,P0017,69,33,50,17.76,10,Snowy,0,16.08,Winter,0,42,2022,1,52,2,7,1,2022-W52
2022-01-02,S001,P0018,203,172,155,66.33,10,Snowy,0,56.8,Winter,0,144,2022,1,52,2,7,1,2022-W52
2022-01-02,S001,P0019,220,35,0,93.29,10,Snowy,0,99.51,Winter,0,52,2022,1,52,2,7,1,2022-W52
2022-01-02,S001,P0020,230,93,432,119.87,10,Snowy,0,111.8,Winter,0,92,2022,1,52,2,7,1,2022-W52
2022-01-02,S002,P0001,0,0,350,86.71,10,Cloudy,0,85.0,Winter,0,137,2022,1,52,2,7,1,2022-W52
2022-01-02,S002,P0002,74,61,0,31.7,0,Cloudy,0,36.09,Winter,0,82,2022,1,52,2,7,1,2022-W52
2022-01-02,S002,P0003,20,20,0,66.64,10,Cloudy,0,61.22,Winter,0,58,2022,1,52,2,7,1,2022-W52
